conm,gvkey,tic
MCCORMICK & SCHMICKS SEAFOOD,160338,MSSR
SYNETICS SOULTIONS INC-REDH,160339,SYSN
MANNKIND CORP,160340,MNKD
W&T OFFSHORE INC,160341,WTI
MEMEC INC-REDH,160342,MEC.
INFRASOURCE SERVICES,160343,IFS
PANDA ETHANOL INC,160355,PDAE
TITAN EXPLORATION LTD,160361,TTN.Z
YASHENG GROUP,160362,HERB
NESS TECHNOLOGIES INC,160364,NSTC
PRN CORP -REDH,160365,PRNC.1
CAREVIEW COMMUNICATIONS INC,160367,CRVW
MORNINGSTAR INC,160373,MORN
NEW RIVER PHARMA INC,160374,NRPH
STEREOTAXIS INC,160375,STXS
TEXAS ROADHOUSE INC,160376,TXRH
GRAMERCY PROPERTY TRUST,160378,GPT
CAPITAL LODGING-REDH,160379,TCL.1
CENCOSUD SA,160381,CNCOY
QUSTREAM CORP,160391,QVC.
GRANDE CACHE COAL CORP,160410,GACHF
PEOPLESUPPORT INC,160414,PSPT
RIGHTNOW TECHNOLOGIES INC,160415,RNOW
TOWER GROUP INTL LTD,160416,TWGP
QC HOLDINGS INC,160417,QCCO
CANWEL BUILDING MATLS GP LTD,160424,CWXZF
ANSWERS CORP,160447,ANSW
SMARTPROS LTD,160448,SPRO.1
CALLWAVE INC,160449,CLWA
AG GROWTH INTERNATIONAL,160453,AGGZF
CHINA EDUCATION ALLIANCE INC,160471,CEAI
CARDINAL STATE BANK,160472,CSNC
METALICO INC,160474,MEA
180 CONNECT INC,160475,3CNCT
VIPR CORP,160477,VIPV
EXTRA SPACE STORAGE INC,160479,EXR
NEUROMETRIX INC,160488,NURO
OAK STREET FIN SRVC INC-REDH,160490,OAKS.1
MPC CORP,160492,MPCCQ
COGENT INC,160498,COGT.1
SYBARI SOFTWARE INC-REDH,160499,SYBS
EUROBANCSHARES INC,160502,EUBK
ZIPREALTY INC,160503,ZIPR
LUMERA CORP,160504,LMRA
VOLTERRA SEMICONDUCTOR CORP,160505,VLTR
MEDQUEST ASSOCIATES INC,160532,0144A
MQ ASSOCIATES INC,160533,0552B
ANVIL MINING LTD,160534,AVM.1
HERCULES CAPITAL INC,160541,HTGC
WASHINGTONFIRST BANKSHARES,160546,WFBI
CNB CORP /SC,160548,CNBW
LIBERTY GLOBAL PLC,160549,LBTYK
GABELLI GLOBAL UTIL &INCM TR,160550,GLU
BLACKROCK DIVIDEND INCOME TR,160551,BQY
FIRST TRUST SR FLOAT RATE II,160554,FCT
MICT INC,160555,MICT
WESTERN ASST INFLATN MGMT FD,160557,IMF
FULL METAL MINERALS LTD,160562,FLMTF
COMMERCIAL VEHICLE GROUP INC,160570,CVGI
RTW RETAILWINDS INC,160571,RTW
FIDELITY NATL INFO SVC-REDH,160572,FIS.3
ELECTRONIC SENSOR TECH INC,160573,ESNR
OHR PHARMACEUTICAL INC,160578,OHRP
TPC GROUP INC,160580,TPCG
VICWEST INC,160582,VICUF
DISPLAYTECH INC-REDH,160583,LCOS
TELEGLOBE INTL HOLDINGS LTD,160586,TLGB
SYNTHESIS ENERGY SYSTEMS INC,160592,SES
GLOBAL SIGNAL INC,160596,GSL.1
INTRALASE CORP,160597,ILSE
BEACON ROOFING SUPPLY INC,160598,BECN
SAXON REIT INC-REDH,160599,SAXND.1
SYMMETRY MEDICAL INC,160600,SMA
GENERAL NUTRITION CNTRS INC,160601,GNC1
ROC PREFERRED CORP,160606,PRF.PA
STRATAGENE CORP,160607,STGN
AIC GLOBAL FINL SPLIT CORP,160608,ASC.2
SEQUOIA OIL & GAS TRUST,160614,SQE.Z
GLOBAL 45 SPLIT CORP,160619,GFV.1
CROWN HILL DIVIDEND FUND,160620,PBK.Z
SHIP FINANCE INTL LTD,160621,SFL
GLOBAL ENTERTAINMENT CORP,160623,GNTP
GOL LINHAS AEREAS INTELIGENT,160628,GOL
XYRATEX LTD,160629,XRTX
THL BEDDING HOLDING CO-REDH,160630,0560B
KONGZHONG CORP -ADR,160631,KZ
SSA GLOBAL TECHNOLOGIES,160632,SSAG
POWERDSINE LTD,160633,PDSN
VIASPACE INC,160635,VSPC
VAULT ENERGY TRUST,160642,VNG.Z
IMVESCOR RESTAURANT GRP INC,160644,IRGIF
XCEED MORTGAGE CO,160646,XMC.1
ABINGTON BANCORP INC,160657,ABBC
GMH COMMUNITIES TRUST,160658,GCT
VIVID LEARNING SYSTEMS INC,160660,VVDL
POLYPORE INTERNATIONAL INC,160661,PPO
SI FINANCIAL GROUP INC,160667,SIFI
INNOVIVA INC,160668,INVA
VIPER MOTORCYCLE CO-REDH,160669,BIK.2
PRA INTERNATIONAL,160670,PRAI
MERISANT WORLDWIDE INC,160671,3888B
PUREPOINT URANIUM GROUP INC,160673,PUMGF
HYSTER-YALE MATERIALS HNDLNG,160681,HY
NATIONAL WATERWORKS INC,160682,0547B
MADISON RIVER CAPITAL LLC,160683,0145A
WESTLAKE CHEMICAL CORP,160684,WLK
MINERA ALAMOS INC,160703,MAIFF
DIAMONDROCK HOSPITALITY CO,160706,DRH
GREAT PLAINS EXPLORATION,160714,GPX.Z
NORCROSS SAFETY PRODUCTS,160718,HON2
GFI GROUP INC,160719,GFIG
HOMEBANC CORP,160725,HMBNQ
MORTGAGEIT HOLDINGS INC,160726,MHL
LG DISPLAY CO LTD,160739,LPL
EGENERA INC-REDH,160740,EGEN
WOODFOREST FINANCIAL GP-REDH,160741,WOOD.1
COFFEE HOLDING CO INC,160742,JVA
EATON VANCE FLT RATE INCM TR,160749,EFT
FIRST TRUST ENERGY INCM & GR,160750,FEN
MONADNOCK BANCORP INC,160751,MNKB
AVIDBANK HOLDINGS INC,160753,AVBH
CREDIT ONE FINANCIAL INC,160766,COFI
POSERA LTD,160767,PRRSF
EQUINOX MINERALS LTD,160768,EQN.
MIRATI THERAPEUTICS INC,160770,MRTX
FIRST NICKEL INC,160774,FNKLF
ST JOSEPH INC,160775,STJO
SIGNATURE BANK/NY,160776,SBNY
CANACCORD GENUITY GROUP INC,160778,CCORF
CENTERRA GOLD INC,160779,CAGDF
DESARROLLADORA HOMEX SA,160780,DHOXY
FIRST CLOVER LEAF FINANCIAL,160781,FCLF
NORTHWATER FIVE YEAR MKT,160782,NYF.Z
VIAD CORP,160785,VVI
THIRD CENTURY BANCORP,160788,TDCB
FRASER PAPERS INC,160790,FRPPF
IKANOS COMMUNICATIONS INC,160797,IKAN
LOCAL CORP,160798,LOCMQ
ISHARES MSTR LRGCP VALUE ETF,160802,JKF
STORM EXPLORATION INC,160805,SEO.Z
SMARTBARGAINS INC-REDH,160806,SBAR.
ISHARES MSTR LRGCP GRWTH ETF,160807,JKE
ISHARES MORNINGSTAR LARGE-CP,160808,JKD
CYCLACEL PHARMACEUTICALS,160809,CYCC
JAMDAT MOBILE INC,160810,JMDT
INTL SECURITIES EXCHNG HLDGS,160811,ISE
CYRIES ENERGY INC,160814,CYS.Z
MICROPLANET TECHNOLOGY CORP,160816,MCTYF
PROGRESS ENERGY RESOURCES CP,160820,PRQNF
COMMERCE ENERGY GROUP INC,160837,CMNR
JAMES RIVER COAL CO,160838,JRCCQ
WANTED TECHNOLOGIES CORP,160839,WNTDF
FIRST BANKSHARES INC/VA,160853,SUFB
51JOB INC  -ADR,160855,JOBS
TOP SHIPS INC,160856,TOPS
RBS GLOBAL INC,160861,0089A
GOLDQUEST MINING CORP,160862,GDQMF
MEDICAL FACILITIES CORP,160864,MFCSF
CELLCO PARTNERSHIP,160865,VZ19
ARBINET CORP,160867,ARBX
ATX GROUP INC-REDH,160869,ATXG.1
INSIGNIA ENERGY LTD,160872,ISNAF
AMERICAN EAGLE ENERGY CORP,160874,AMZGQ
VALLEY BANCORP,160886,VLLY
ANTE4 INC,160887,ANTF.1
MONOLITHIC POWER SYSTEMS INC,160888,MPWR
ODIMO INC,160889,ODMO
CELEBRATE EXPRESS INC,160890,BDAY
ACCESS NATIONAL CORP,160891,ANCX
DFC GLOBAL CORP,160892,DLLR
ENERSYS,160893,ENS
BRICK LTD,160894,BRKQF
VERENEX ENERGY INC,160899,VNX.Z
SYNERON MEDICAL LTD,160902,ELOS
DREAMWORKS ANIMATION SKG INC,160912,DWA
ORMAT TECHNOLOGIES INC,160913,ORA
POWER TECH CORPORATION INC,160927,PWB.3
CABG MEDICAL INC,160932,CABG
EAGLE TEST SYSTEMS INC,160933,EGLT.1
ECOST.COM INC,160934,ECST
CLOUGH GBL DIV & INCOME FD,160935,GLV
2242749 ONT LTD,160938,AIIFF
DIVERSEY HOLDINGS INC,160949,SEE1
PREMIUM STANDARD FARMS INC,160950,PORK
MADISON CVD CALL & EQ STRTGY,160952,MCN
BLACKROCK FLT RTE INC STR II,160953,FRB
NUVEEN FLOATING RATE INCM OP,160955,JRO
DEER CREEK ENERGY LTD,160956,DCE.
SPECIALTY UNDERWRITERS,160957,SUAI
SENSUS METERING SYS INC-REDH,160958,0592B
GENERAL STEEL HOLDINGS INC,160961,GSIH
KENAN ADVANTAGE GRP INC-REDH,160975,TKAG
ART IN MOTION INCOME FUND,160983,AIM.Z
NATIONAL ATLANTIC HOLDINGS,160987,NAHC
CAMBRIDGE DISPLAY TECH,160988,OLED.
CALAMOS ASSET MANAGEMENT INC,160989,CLMS
CUBESMART,160990,CUBE
DIGITAL REALTY TRUST INC,160991,DLR
KMG AMERICA CORP,160995,KMA
NANOVIRICIDES INC,160997,NNVC
KKR FINANCIAL HOLDINGS LLC,161000,9470B
PORTALPLAYER INC,161012,PLAY.1
BIOMED REALTY TRUST INC,161013,BMR
NAUGATUCK VALLEY FINANCIAL,161014,NVSL
MATCHNET INC-REDH,161015,0593B
INTEGRATED FINL SYSTEMS-REDH,161016,IFSI
MATTRESS FIRM HOLDING CORP,161036,MFRM
ADEZA BIOMEDICAL CORP,161037,ADZA
BRIGHTSTAR CORP-REDH,161039,STAR.3
HEARTLAND PAYMENT SYSTEMS,161040,HPY
ADVANTAGE ADVISORS MULTI SEC,161045,XAMSX
AMERICAN CAMPUS COMMUNITIES,161048,ACC
BUILD-A-BEAR WORKSHOP INC,161055,BBW
GREAT WOLF RESORTS INC,161056,WOLF
MEDEX HOLDINGS CORP-REDH,161057,MDX.3
US SHIPPING PARTNERS LP,161064,USSPQ
ECC CAPITAL CORP,161065,ECRO
FELDMAN MALL PPTYS INC -OLD,161066,FMLP.1
ADVANCE AMER CASH ADVANCE CT,161067,AEA
WRIGHT INVESTORS SERVICE,161069,WISH
TEARLAB CORP,161071,TEAR
COMSTOCK HOLDING COS INC,161072,CHCI
FOXHOLLOW TECHNOLOGIES INC,161073,FOXH
ENVIRONMENTL BIOSCIENCE-REDH,161074,EBSI.2
GOLD KIST INC/DE,161075,GKIS
RAPTOR PHARMACEUTICAL CORP,161088,RPTP
LORING WARD INTL LTD,161093,LRGI
FOUNDATION COAL HOLDINGS INC,161110,FCL.2
INTEGRIS METALS CORP-REDH,161111,IMC.2
ARCSOFT INC-REDH,161112,ARCT.1
EDGEWAVE INC,161119,EWVE
MACQUARIE INFRASTRUCTURE CP,161120,MIC
BLACKROCK FLTING RATE INC TR,161125,BGT
ENTERPRISE GROUP INC,161789,ETOLF
FIRST TR ENHANCED EQUITY,161791,FFA
SOUTHERNERA DIAMONDS INC,161795,SDM.Z
NALCO HOLDING CO,161797,NLC
OCEAN SHORE HOLDING CO,161798,OSHC
CORUS PHARMA INC-REDH,161799,CSPH
POLARIS INFRASTRUCTURE INC,161801,RAMPF
IBI GROUP INC,161806,IBIBF
NATURE VISION INC,161810,NRVN
BLUELINX HOLDINGS INC,161813,BXC
MARKET LEADER INC,161814,LEDR
NATIONSHEALTH INC,161816,3NHRX
GOLD HILLS MINING LTD,161834,GHML
COVALON TECHNOLOGIES LTD,161840,CVALF
MANITEX INTERNATIONAL INC,161843,MNTX
LAS VEGAS SANDS CORP,161844,LVS
SOTHERLY HOTELS INC,161852,SOHO
KEARNY FINANCIAL CORP,161853,KRNY
HEALTHESSENTIALS SOLTNS-REDH,161854,CARE.
HUTCHISON TELECOMMUNICATION,161857,HTX
ADRIANA RESOURCES INC,161858,ANARF.1
COPPER FOX METALS INC,161860,CPFXF
GLOBAL DIVERSIFD INVT GRADE,161861,DG.UN
PEOPLES EDUCATIONAL HOLDINGS,161869,PEDH
EDUCATE INC,161877,EEEE
YIELDPLUS INCOME FUND,161880,YDNCF
STREETTRACKS SPDR O STRIP,161893,OOO.1
L & L ENERGY INC,161897,LLEN
MULTI SELECT INCOME TRUST,161901,MST.Z
HUNTINGDON CAPITAL CORP,161902,HCAPF
SPY INC,161903,XSPY
INFINITI SOLUTIONS -ADR-REDH,161908,ISLT.
SEABRIGHT HOLDINGS INC,161909,SBX
PRUDENTIAL BANCORP INC,161924,PBIP
CHINA FINANCE ONLINE CO -ADR,161925,JRJC
CONOR MEDSYSTEMS INC,161926,CONR
BANK HOLDINGS INC,161927,TBHS
CARDIOVASCULAR BIOTHERAPEUTC,161928,CVBT
PACIFIC VALLEY BANK,161940,PVBK
DWS ENH COMMODITY STRATGY FD,161941,GCS
BANKFINANCIAL CORP,161942,BFIN
NATIONAL INTERSTATE CORP,161952,NATL
EDUCATION REALTY TRUST INC,161953,EDR.1
KAYNE ANDERSON MLP/MD INV CO,161954,KYN
EAGLE HOSPITALITY PROP TR,161961,EHP.1
ARGON ST INC,161965,STST.1
ARES CAPITAL CORP,161966,ARCC
RIVER CITY BANK,161970,RCBK
ROC PREF II CORP,161971,RPA.PA
CENTRAL ENERGY PARTNERS LP,161977,ENGY
PROSPEX RESOURCES LTD,161984,PSX.
COMMUNITY BANCORP/NV,161989,CBONQ
TELVENT GIT SA,161992,TLVTF
BOIS D ARC ENERGY INC,161993,BDE.
COMSYS IT PARTNERS INC,161994,CITP
PB BANCORP INC,161996,PBBI
HURON CONSULTING GROUP INC,161997,HURN
PERU COPPER INC,162006,CUP
AKRION INC-REDH,162012,AKRI
ASTON HILL OIL & GAS INCM FD,162017,BOGSF
GLOBAL ALUMINA CORP,162018,GBAMF
ELONG INC,162028,LONG
SIR ROYALTY INCOME FUND,162031,SIRZF
TRI-S SECURITY CORP,162048,TRIS
NORTH AMERICAN FINL 15 SPLIT,162053,FNCSF
GIGABEAM CORP,162055,GGBMQ
SKYLON ALL ASSET TR,162056,SKA.UN
NEW GENERATION BIOFUELS,162064,NGBF
ISHARES CHINA LARGE-CAP ETF,162069,FXI
GIENOW WINDOWS & DOORS INCM,162072,GIF.U.
ARC DOCUMENT SOLUTIONS INC,162076,ARC
CHINA NETCOM GROUP CORP,162077,CN.1
FIRST STATE FINANCIAL CP/FL,162078,FSTF
HARDWOODS DISTRIBUTION INC,162085,HDIUF
NOVA BIOSOURCE FUELS INC,162087,NBFAQ
ARLINGTON TANKERS LTD,162106,ATB
RMR FIRE FUND,162107,RFR
S&P 500 GEARED FUND INC,162108,GRE.2
HILAND PARTNERS LP,162122,HLND.
NUVEEN S&P 500 BUY-WRITE INC,162123,BXMX
PIMCO INCOME STRATEGY FD II,162124,PFN
WESTERN ASST VAR RT STRAT FD,162125,GFY
CONSOLIDATED COMM HLDGS INC,162127,CNSL
MOSAIC CO,162129,MOS
ROYAL LASER CORP,162135,RLC.Z
CRYOPORT INC,162146,CYRX
MEDICAL PROPERTIES TRUST,162160,MPW
EATON VANCE ENHNCD EQ INC FD,162171,EOI
OPTIONSXPRESS HOLDINGS INC,162175,OXPS
UAP HOLDING CORP,162198,UAPH
MAWSON RESOURCES LTD,162205,MWSNF
OHA INVESTMENT CORP,162219,OHAI
RESINCO CAPITAL PARTNERS INC,162220,RSCZF
BLACK RAVEN ENERGY INC,162221,4986B
CORDIA BANCORP INC,162222,BVA
BREAKER ENERGY LTD,162230,WAV.2
DIGITAL ALLY INC,162233,DGLY
TARPON INDUSTRIES INC,162234,TPOSQ
NINETOWNS INTERNET TECH -ADR,162240,NINE.1
TUSK ENERGY CORP,162252,TSK.Z
CELANESE CORP,162254,CE
SAFE AUTO GROUP INC-REDH,162263,SAIC.1
NEENAH PAPER INC,162264,NP
COPANO ENERGY LLC,162272,CPNO
GRAND POWER LOGISTICS GROUP,162273,GPW.
HELIOS ADVANTAGE INCM FD INC,162276,HAV
INTERNATIONAL COAL GROUP INC,162283,ICO
PURE BIOFUELS CORP,162284,PBOF
FIRST INTERNET BANCORP,162293,INBK
GOLF TOWN INCOME FUND,162310,GLF.U
SES SOLAR INC,162321,SESI
CI FIRST ASSET CDN REIT ETF,162322,RIT.
MERCATOR TRANSPORT GROUP CP,162326,GMT.H
FUSION TELECOMMUNICATIONS,162329,FSNN.1
ACTIVENERGY INCOME FUND,162330,ATVYF
PRESTIGE CONSUMER HEALTHCARE,162335,PBH
IOWA TELECOM SERVICES INC,162336,IWA
UNIVERSAL LOGISTICS HLDGS,162338,ULH
FAIRCOURT INC & GRW SPLIT TR,162344,FIG.Z
ATLANTIC POWER CORP,162346,AT
TIDELANDS BANCSHARES INC,162349,TDBK
SPDR GOLD TRUST,162353,GLD
DOLBY LABORATORIES INC,162354,DLB
UNICA CORP,162355,UNCA
EMAGEON INC,162356,EMAG.2
STENTOR INC-REDH,162369,SNTR
CINCH ENERGY CORP,162371,CNH.
LATIN AMERICAN MINERALS INC,162376,LATNF
FAMILYMEDS GROUP INC,162378,FMRX
CHINA FIRE & SECURTY GRP INC,162384,CFSG
WEX INC,162385,WEX
FTD COS INC,162386,FTDCQ
TEEKAY LNG PARTNERS LP,162387,TGP
FIRST TR ABERDEEN GLBL OPP F,162391,FAM
XPEL TECHNOLOGIES CORP,162400,XPLT
HUNTSMAN CORP,162401,HUN
PAV REPUBLIC INC-REDH,162402,RSBQ
ANESIVA INC,162403,ANSVQ
LHC GROUP INC,162404,LHCG
THE9 LTD -ADR,162408,NCTY
ADALTIS INC,162411,ADALF
MIDNIGHT OIL EXPLORATION LTD,162421,MDOEF.1
SECOND CUP LTD,162425,SCUPF
YUCHENG TECHNOLOGIES LTD,162437,YTEC
BG ADVTG S&P/TSX INCM IDX FD,162441,BAI.Z.
ALPHA NATURAL RESOURCES INC,162448,ANRZQ
EXLSERVICE HOLDINGS INC,162449,EXLS
AEMETIS INC,162453,AMTX
COLOMBIA GOLDFIELDS LTD,162454,3CGDF
HOME FEDERAL BANCORP INC,162457,HOME.1
HIGHPOINT RESOURCES CORP,162459,HPR
SEMBIOSYS GENETICS INC,162461,SBIYF
SAXON ENERGY SERVICES INC,162467,SES.Z
VISANT CORP,162488,0039A
GUARANTY BANCORP,162489,GBNK
FRONTERA COPPER CORP,162490,FCC.Z
INTACT FINANCIAL CORP,162491,IFCZF
ZALICUS INC,162497,ZLCS
OTELCO INC,162501,OTEL
ADDENDA CAPITAL INC,162502,ADV.Z
ARRISCRAFT INTL INCOME FUND,162504,AIN.U
DIRECTCASH PAYMENTS INC,162506,DCTFF
CANADIAN OVERSEAS PETRO LTD,162514,VELXF
ZHONGPIN INC,162517,HOGS
BOARDWALK PIPELINES LLC,162520,LTR2
CONNOR CLARK & LUNN CNSV FD,162525,CCQ.U
ENERGY SPLIT CORP II INC,162527,EN.
FLAHERTY & CRUMRINE INV GD,162529,FFI.UN
GRANBY INDUSTRIES INCOME FD,162537,GBY.Z
MSP MAXXUM TRUST,162542,MXT.Z
MACRO ENTERPRISES INC,162548,MCESF
SCOZINC MINING LTD,162554,SWNLF
CAROLINA TRUST BANCSHARES,162555,CART
PANAMSAT HOLDING CORP,162556,PA
UNITED FINANCIAL BANCORP INC,162557,UBNK
LAZARD LTD,162559,LAZ
AXOS FINANCIAL INC,162560,AX
DATA COMMUNICATIONS MGMT CP,162561,DGPIF
XEBEC ADSORPTION INC,162564,XEBEF
FASTCLICK INC,162566,FSTC.
FORRESTER METALS INC,162567,VNARF
BLACKROCK ENERGY AND RES TR,162568,BGR
DEFINED STRATEGY FUND INC,162569,DSF
PIONEER FLOATING RATE TR,162571,PHD
SOUND SURGICAL TECH INC-REDH,162574,LSV
BROOKLYN FEDERAL BANCORP,162576,BFSB
FIDUCIARY/CLAYMR EGY INFR FD,162577,FMO
DEFIANT RESOURCES CORP,162579,DFR.Z
SUNRISE SENIOR LIVING REIT,162582,SZR.U
UBS TOTAL RETURN TRUST,162583,UTR.Z
NTS REALTY HOLDINGS LP,162584,NLP
SUNESIS PHARMACEUTICALS INC,162585,SNSS
MADISON RIVER COMM -REDH,162586,0637B
SCEPTRE INCM & HIGH GRWTH TR,162589,SZH.Z
CHEMOKINE THERAPEUTICS CORP,162598,CHKT
EL POLLO LOCO INC,162610,0063A
ORSUS XELENT TECHNOLOGIES,162644,ORSX
PARKBRIDGE LIFESTYLE CMNTY,162658,PRK.Z
BENJAMIN FRANKLIN BANCORP,162662,BFBC
FOUNDATION HEALTHCARE INC,162699,FDNHQ
NOVELIS INC,162701,HND1
STONEHAM DRILLING TRUST,162703,SDG.UN
GEORGETOWN BANCORP INC,162717,GTWN
NAVIOS MARITIME HOLDINGS INC,162720,NM
GLOBALMIN VENTURES INC,162726,GMVI
EPICEPT CORP-OLD,162732,EPCT.1
VERIFONE SYSTEMS INC,162733,PAY
TRILLIUM THERAPEUTICS INC,162735,TRIL
SECOND WAVE PETROLEUM INC,162736,SCSZF
BASELINE OIL & GAS CORP,162739,3BOGAQ
FREIGHTCAR AMERICA INC,162742,RAIL
FRANCONIA MINERALS CORP,162747,FRA.2
MISSION OIL & GAS INC,162751,MSO.
KU6 MEDIA CO LTD  -ADR,162757,KUTV
EESTOR CORP,162765,ZNNMF
DRYSHIPS INC,162768,DRYS
IBUYDIGITAL.COM INC-REDH,162769,IBUY.1
SYNTA PHARMACEUTICALS CORP,162770,SNTA
ALION SCIENCE AND TECHNOLOGY,162796,0712B
XENOPORT INC,162809,XNPT
CADENCE ENERGY INC,162812,CDS.Z
BEAR RIDGE RESOURCES LTD,162813,BER.Z
GRAVITY CO LTD -ADR,162814,GRVY
HOME FEDERAL BANCORP INC/LA,162825,HFBL
NORTH POINTE HOLDINGS CORP,162826,NPTE
BUILDERS ENERGY SRVCS TRUST,162832,BET.Z
ASPREVA PHARMACEUTICALS CORP,162833,ASPV.
GEOLOGISTICS CORP -REDH,162838,GEOL
U S PRECIOUS METALS INC/DE,162850,USPR
COHEN & STEERS DIV MAJORS FD,162854,DVM
BLACKROCK DIVRSIFD INC STRAT,162855,DVF
ADVENT/CLAYMORE ENCD GRWTH,162858,LCM
EATON VANCE ENHNCD EQ INC II,162859,EOS
NUVEEN EQUITY PREMIUM OPP FD,162861,JSN
FIRST BANK OF DELAWARE,162867,3FBOD
ISHARES GOLD TRUST,162868,IAU
BRP INC,162870,DOOO
UNITED FUEL & ENERGY CORP,162875,UFEN
CORE MARK HOLDING CO INC,162876,CORE
NEW SKIES SATELLITES -REDH,162886,0717B
DEXCOM INC,162887,DXCM
SHERIDAN GROUP INC,162889,6597B
K-BRO LINEN INC,162891,KBRLF
MEDICINOVA INC,162892,MNOV
MARIFIL MINES LTD,162893,MFMLF
CRESTWOOD EQUITY PARTNERS LP,162894,CEQP
AMERICAN COMMERCIAL LINES,162897,ACLI
EXCELLENCY INVESTMNT RLTY TR,162905,EIVR
IHS MARKIT LTD,162906,INFO
SILICON GRAPHICS INTL CORP,162907,SGI
BPZ RESOURCES INC,162909,BPZRQ
GXS CORP,162910,0721B
KEYSTONE NORTH AMERICA INC,162912,KNA.Z
RADIANT LOGISTICS INC,162914,RLGT
CRYSTAL RIVER CAPITAL INC,162919,3CYRV
EXANTAS CAPITAL CORP,162925,XAN
ACCELLENT INC,162928,5298B
MATRIX INCOME FUND,162931,MTZ.U
SQI DIAGNOSTICS INC,162934,SQIDF
VWR INTERNATIONAL INC,162938,2273B
MOLSON COORS CDA INC,162940,MXGBF
TRIANGLE PETROLEUM CORP,162941,TPLMQ
COLUMBIA EQUITY TRUST,162943,COE.1
AMPHASTAR PHARMA-REDH -OLD,162948,AMPR
ACCENTIA BIOPHARMACEUTICALS,162956,ABPI
ROCKWOOD HOLDINGS INC,162957,ROC
TARGACEPT INC,162958,TRGT
ACUITY FOCUSED TOTAL RETURN,162962,AFU.UN
CITADEL STABLE S-1 INCOME FD,162963,CSR.Z.
PREMIER VALUE INCOME TRUST,162969,PVN.U
US FINANCIAL 15 SPLIT CORP,162972,FTU.
NEW NADINA EXPLORATIONS LTD,162973,NNADF
PETROLIA INC,162976,PTOAF.
CI FIRST AST ACT UTIL & INFR,162977,FAPPF
OPTA MINERALS INC,162978,OPMMF
FIRST TRUST/HIGHLAND CAP FLT,162979,FHT.U
GLOBAL BANKS PREMIUM INC TR,162986,GBP.UN
CITADEL INCOME FUND,162987,CTF.UN
ZUMIEZ INC,162988,ZUMZ
MOBILESMITH INC,163018,MOST
SHAMIR OPTICAL INDUSTRY LTD,163020,SHMR
RMX HOLDINGS INC,163022,RDMX
BOISE CASCADE HOLDINGS LLC,163023,0944B
VIRTUS TOTAL RETURN FUND INC,163024,ZF
EATON VANCE SHORT DRTN DIV,163025,EVG
INTERNATIONAL ROYALTY CORP,163027,ROY
ALLIANZGI NFJ DIV INT & PREM,163029,NFJ
CHINA HOSPITALS INC -REDH,163035,0729B
BUILDERS FIRSTSOURCE,163036,BLDR
AVANTAIR INC,163041,AAIR
TRUSTREET PROPERTIES INC,163042,TSY
NORTHWATER TOP 75 INCOME TRS,163044,NTP.U
YIELD ADVANTAGE INCOME TRUST,163047,YOU.UN
IVIVI TECHNOLOGIES INC,163048,IVVI
JER INVESTORS TRUST INC,163049,JERT
COFFEYVILLE RESOURCES -REDH,163050,0731B
CITI TRENDS INC,163051,CTRN
VIQ SOLUTIONS INC,163058,VQSLF
DIANA SHIPPING INC,163060,DSX
KENTUCKY FIRST FEDERAL BNCRP,163069,KFFB
SOLEXA INC,163087,SLXA
LOTUS PHARMACEUTICALS INC,163088,LTUS
ROC PREF III CORP,163093,RPB.PA
CHINA NUVO SOLAR ENERGY-OLD,163094,CNUV.1
OPENSKY CAPITAL INDX INCM FD,163100,OMP.U
MICRUS ENDOVASCULAR CORP,163102,MEND
GLOBAL DIVRSFD INVT GRADE II,163109,GIIZF
FINDEV INC,163112,TNSGF
KOPPERS HOLDINGS INC,163113,KOP
FPB BANCORP INC,163117,FPBI
WARNER MUSIC GROUP CORP,163118,9394B
WH INTERMEDIATE HLDGS LTD,163120,HLF1
VALERA PHARMACEUTICALS INC,163121,VLRX.1
AFFINIA GROUP INTRMDT HLDGS,163124,0156A
SPONGETECH DELIVERY SYSTEMS,163136,SPNGQ
WLG INC,163137,WLGI
DYNEGY HOLDINGS INC,163429,DYN1
BERTUCCI'S CORP,163492,0577B
SYNERGEX CORP,163559,SYXJF
FOCUSED 40 INCOME FUND,163564,FIF.Z.
PRAIRIE SCHOONER PETROLEUM,163566,PSL.1
REDWOOD ENERGY INCOME FUND,163567,BAOGF
BREAKING DATA CORP-OLD,163574,7669B
SOMERSET ENTERTAINMENT INCM,163575,SOM.Z
LAWRENCE CONSERV PAYOUT TR,163578,LCP.U
NUVIM INC,163579,NUVM
FAIRWAY INVESTMENT GRD INCM,163583,FGF.U
SOUNDVEST SPLIT TRUST,163584,BSSTF
HORIZON LINES INC,163586,HRZL
TBS INTERNATIONAL PLC,163587,TBSIQ
TRANSMONTAIGNE PARTNERS LP,163594,TLP
PACIFIC ETHANOL INC,163595,PEIX
CAMBER ENERGY INC,163596,CEI
DSW INC-OLD,163601,DSW.2
INTERCONTINENTAL EXCHANGE,163610,ICE
COHEN&STEERS WRLDWD RLTY INC,163611,RWF
VOYA GLB EQ DIV AND PREM OPP,163612,IGD
S&P 500 COVERED CALL FUND,163613,BEP.3
GAMCO GLOBAL GOLD NTRL RES,163614,GGN
BLACKROCK HEALTH SCIENCES TR,163620,BME
NUVEEN TAX-ADVANTGD FLTG RT,163621,JFP
AGT FOOD AND INGREDIENTS,163626,AGXXF
